Versuch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;Summe
1;0;2;3;6;7;11;4;8;6;3;0;0;0;0;50
2;1;1;1;5;7;10;10;7;5;3;0;0;0;0;50
3;1;4;4;4;3;9;4;10;6;3;2;0;0;0;50
4;2;2;2;2;11;7;7;8;8;1;0;0;0;0;50
5;2;3;1;4;9;7;6;4;8;2;2;2;0;0;50
6;3;0;2;1;9;7;9;6;6;5;2;0;0;0;50
7;0;2;1;4;6;5;9;10;4;5;1;3;0;0;50
8;1;1;3;5;7;4;7;11;8;2;1;0;0;0;50
9;1;1;3;0;7;6;10;7;10;4;0;0;1;0;50
10;2;1;1;3;8;7;4;6;10;7;1;0;0;0;50
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Gesamt;13;17;21;34;74;73;70;77;71;35;9;5;1;0;500
Gesamt %;2,6;3,4;4,2;6,8;14,8;14,6;14;15,4;14,2;7;1,8;1;0,2;0;
